name,position
Luca Beccari,"Segretario di Stato per gli Affari Esteri, per la Cooperazione Economica Internationale e le Telecommunicazioni"
Elena Tonnini,"Segretario.di St.per gli Affari interni,la Funzione Pubblica e gli Affari IstuzionaliÂ"
Marco Gatti,"Segretario di Stato per le Finanze,il Bilancio e i Trasporti"
Andrea Belluzzi,"Segret.di St.per l'Istruzione e la Cultura e l'Università,la Ricerca Scientifica e le Politiche Giovanili"
Roberto Ciavatta,"Segretario di Stato per la Sanità,la Sicurezza Sociale,la Previdenza e gli Affari Socialie,le Pari Opportunità e l'Innovazione Tecnol."
Stefano Canti,"Segretaria.di Stato per il Territorio,l'Ambiente, l'Agricoltura e la Protezione Civile"
Fabio Righi,"Segretario di St.per l'Industria,l'Artigianato e il Commercio,la Ricerca Tecnologica e la Semplificazione Normativa"
Teodoro Lonfernini,"Segretario di Stato per il Lavoro, la Programmazione Economica, lo Sport, l’Informazione e i Rapporti con l’A.A.S.S."
Massimo Andrea Ugolini,Segretario di Stato per la Giustizia e la Famiglia
Federico Pedini Amati,"Segretario di Stato per il Turismo, le Poste, la Cooperazione ed Expò"
