item,itemLabel,position,positionLabel,start,psid
Q107285242,Elena Tonnini,Q3954368,Secretary for Internal Affairs,2020-01-07,Q107285242-8A41A431-67A2-40D8-A2C7-9EC68A9F36F4
Q110174519,Roberto Ciavatta,Q3954376,Secretary for Health and Social Security,2020-01-08,Q110174519-FF79878D-D795-43B3-A46E-898612A4EF6B
Q110174541,Fabio Righi,Q3954372,Secretary for Industry and Crafts,2020-01-08,Q110174541-F3567999-6AF5-4B75-B4F4-A362F91DD84E
Q15998324,Luca Beccari,Q3954367,Secretary for Foreign and Political Affairs,2020-01-07,Q15998324-C9873E46-967D-4E48-9C5E-AB6A89B0053A
Q19691256,Andrea Belluzzi,Q3954375,Secretary for Education and Culture,2020-01-08,Q19691256-F015D415-4E73-4500-A944-81FF3FBF15E2
Q23681818,Massimo Andrea Ugolini,Q110174401,Secretary for Justice and the Family,2020-01-08,Q23681818-924E7AC2-A789-4C76-A144-EC5650341F72
Q3846151,Marco Gatti,Q3954377,Secretary for Finance and Budget,2020-01-08,Q3846151-4054AEAE-2021-4363-B126-3E6D3F633174
Q888414,Federico Pedini Amati,Q3954373,Secretary for Tourism,2020-01-08,Q888414-812E971B-BA43-4C64-98C1-3FCAE77DB7AC
Q97649650,Stefano Canti,Q3954371,Secretary for the Territory and the Environment,2020-01-08,Q97649650-6D1484BB-880E-489A-A52E-3044E53E6599
Q57547,Teodoro Lonfernini,Q3954370,Secretary for Labour and Cooperation,2020-01-08,Q57547-A67DB68B-E8BD-4D63-AD0F-8FE47A444816
