position,title
Q258045,Captain Regent
Q3954367,Secretary for Foreign and Political Affairs
Q3954368,Secretary for Internal Affairs
Q3954377,Secretary for Finance and Budget
Q3954372,Secretary for Industry and Crafts
Q3954371,Secretary for the Territory and the Environment
Q3954373,Secretary for Tourism
Q3954376,Secretary for Health and Social Security
Q3954375,Secretary for Education and Culture
Q3954370,Secretary for Labour and Cooperation
Q110174401,Secretary for Justice and the Family
Q3954374,Secretary for Justice and Interal Affairs
Q110174666,Governor of the Central Bank
